taxonomy_id,S1,S2,S3,S4,S5,S6,S7
2686077,48,50,63,97,74,629,48
2697010,17,15,13,83,80,196,38
313603,79,157,16,204,76,259,157
2976127,74,41,55,89,54,208,181
2496865,69,51,22,133,22,231,106
1836467,84,46,69,214,90,644,82
320912,64,194,,41,80,423,
1178778,77,424,61,187,67,112,292
1942464,152,29,,36,16,232,28
76594,128,23,110,213,68,248,16
979,60,178,76,181,84,621,206
59600,55,41,34,94,115,293,62
2779359,326,88,135,289,141,208,233
398743,217,73,27,371,480,1088,65
1729720,368,198,15,376,49,470,346
143223,80,11,19,152,319,532,53
270918,33,34,24,92,70,251,25
1798225,131,28,12,149,14,205,157
2686363,49,24,10,147,41,16,152
1336795,17,74,,96,,19,100
2594004,139,131,64,267,78,594,114
320324,10,35,25,62,76,235,69
2926907,318,179,18,245,32,45,79
313590,222,,,152,24,22,48
326320,32,260,,,25,,17
57029,192,47,,217,48,12,86
2777186,36,139,74,85,64,209,161
573501,143,18,34,196,102,36,32
2719912,104,266,18,253,86,775,130
2654676,174,35,26,174,265,229,55
2905121,32,19,15,12,27,236,85
2809707,204,590,181,194,462,83,170
2202721,210,47,61,241,104,256,255
1218801,142,178,89,180,46,49,93
2282170,35,42,40,119,59,141,128
616991,245,37,204,168,40,99,265
2653681,101,11,53,160,,,49
2057808,36,11,,29,363,,37
983544,13,23,17,121,37,83,168
1486034,33,27,42,80,,35,158
2027857,173,29,81,224,393,661,238
2893202,168,43,14,252,357,749,143
2918453,74,25,25,227,15,257,60
2918526,44,57,10,144,74,246,99
1622118,52,86,66,101,63,258,189
2937786,144,223,11,164,29,15,40
1936081,23,36,16,171,364,16,100
2900738,154,83,31,217,390,478,157
2744027,146,28,,97,136,12,80
2908210,93,81,120,230,21,78,90
2585771,31,29,22,126,79,484,90
1803846,122,209,39,197,61,397,204
1170699,117,27,32,133,23,116,98
639310,114,54,130,77,82,240,655
2686366,55,55,,271,125,1041,34
2686365,38,325,119,93,19,282,208
1736674,21,29,22,94,263,115,122
1850246,130,72,231,227,87,848,120
2767188,96,126,65,168,116,527,61
343403,92,16,42,120,79,311,54
2675331,87,26,22,135,84,505,78
2049305,82,165,31,136,26,130,115
63186,79,97,15,165,342,128,132
1761453,108,68,24,129,30,160,103
2779362,80,97,11,495,218,290,181
2562285,71,12,43,180,47,492,67
1630406,63,,33,167,43,241,13
1453352,64,105,23,176,62,982,13
2507538,60,35,59,253,143,498,73
2584122,60,73,18,197,109,252,128
2583587,56,40,29,114,34,209,107
2916754,56,156,29,102,34,258,130
252307,42,144,48,120,400,226,29
762954,43,19,35,34,81,39,268
2570561,61,74,35,123,29,52,39
754429,26,21,32,30,325,57,26
1336796,27,304,47,47,27,99,173
2094025,21,249,14,138,87,506,123
1790137,17,35,22,83,85,351,196
2529032,15,48,28,43,16,143,89
2779360,15,90,,90,26,85,66
2713414,519,238,72,103,122,97,63
2920939,263,245,20,157,405,28,173
2879938,179,15,175,191,66,307,226
2015076,167,63,75,291,41,120,103
2039166,175,33,53,187,155,114,48
2983606,127,77,15,217,73,509,100
2956784,121,41,22,171,39,11,47
2487065,123,42,21,217,51,367,25
1721091,101,52,22,79,157,245,185
2898076,88,63,12,105,44,60,92
2838877,97,44,16,59,111,150,103
2758037,72,30,33,61,70,20,114
2487064,96,36,52,138,68,245,195
2864040,72,15,20,90,102,36,53
2478663,77,31,32,143,61,398,209
2825845,102,118,16,94,,42,60
878220,69,83,35,146,101,342,220
1871047,59,49,10,55,32,249,103
2856522,174,,,208,47,346,
2966625,42,161,41,230,372,99,64
2594269,30,17,,65,31,171,15
2983267,79,103,72,74,53,53,51
2879939,14,200,13,22,25,50,37
253,633,383,130,651,167,898,304
254,312,135,54,210,49,148,188
558152,242,30,36,184,45,245,66
536441,243,74,33,257,187,249,137
2547600,220,,,115,23,160,35
1685010,232,125,23,210,43,40,225
1265445,210,497,71,256,408,429,170
2929800,187,108,17,154,36,52,83
1124835,187,111,141,171,129,127,393
246,173,34,42,292,219,361,112
1493872,150,48,75,146,147,30,56
250,194,75,62,262,204,493,132
651561,129,221,97,312,229,786,235
